function_schema,function_name,identity_args,return_type,language,prokind,security_definer
auth,email,,text,sql,f,FALSE
auth,jwt,,jsonb,sql,f,FALSE
auth,role,,text,sql,f,FALSE
auth,uid,,uuid,sql,f,FALSE
backfill,append_tag_if_missing,"base text, tag text",text,sql,f,FALSE
backfill,clean_debt_amount,p text,text,sql,f,FALSE
backfill,normalize_phone,p text,text,sql,f,FALSE
backfill,nullif_blank,p text,text,sql,f,FALSE
backfill,parse_la_ts,p text,timestamp with time zone,plpgsql,f,FALSE
backfill,squash_ws,p text,text,sql,f,FALSE
backfill,strip_digits,p text,text,sql,f,FALSE
cron,alter_job,"job_id bigint, schedule text, command text, database text, username text, active boolean",void,c,f,FALSE
cron,job_cache_invalidate,,trigger,c,f,FALSE
cron,schedule,"job_name text, schedule text, command text",bigint,c,f,FALSE
cron,schedule,"schedule text, command text",bigint,c,f,FALSE
cron,schedule_in_database,"job_name text, schedule text, command text, database text, username text, active boolean",bigint,c,f,FALSE
cron,unschedule,job_id bigint,boolean,c,f,FALSE
cron,unschedule,job_name text,boolean,c,f,FALSE
extensions,armor,bytea,text,c,f,FALSE
extensions,armor,"bytea, text[], text[]",text,c,f,FALSE
extensions,crypt,"text, text",text,c,f,FALSE
extensions,dearmor,text,bytea,c,f,FALSE
extensions,decrypt,"bytea, bytea, text",bytea,c,f,FALSE
extensions,decrypt_iv,"bytea, bytea, bytea, text",bytea,c,f,FALSE
extensions,digest,"bytea, text",bytea,c,f,FALSE
extensions,digest,"text, text",bytea,c,f,FALSE
extensions,encrypt,"bytea, bytea, text",bytea,c,f,FALSE
extensions,encrypt_iv,"bytea, bytea, bytea, text",bytea,c,f,FALSE
extensions,gen_random_bytes,integer,bytea,c,f,FALSE
extensions,gen_random_uuid,,uuid,c,f,FALSE
extensions,gen_salt,text,text,c,f,FALSE
extensions,gen_salt,"text, integer",text,c,f,FALSE
extensions,grant_pg_cron_access,,event_trigger,plpgsql,f,FALSE
extensions,grant_pg_graphql_access,,event_trigger,plpgsql,f,FALSE
extensions,grant_pg_net_access,,event_trigger,plpgsql,f,FALSE
extensions,hmac,"bytea, bytea, text",bytea,c,f,FALSE
extensions,hmac,"text, text, text",bytea,c,f,FALSE
