grantee,table_schema,table_name,privilege_type
PUBLIC,extensions,pg_stat_statements,SELECT
PUBLIC,extensions,pg_stat_statements_info,SELECT
analytics_reader,analytics,v_leads_canonical,SELECT
anon,coreg,coreg_leads,DELETE
anon,coreg,coreg_leads,INSERT
anon,coreg,coreg_leads,REFERENCES
anon,coreg,coreg_leads,SELECT
anon,coreg,coreg_leads,TRIGGER
anon,coreg,coreg_leads,TRUNCATE
anon,coreg,coreg_leads,UPDATE
anon,coreg,coreg_sales,DELETE
anon,coreg,coreg_sales,INSERT
anon,coreg,coreg_sales,REFERENCES
anon,coreg,coreg_sales,SELECT
anon,coreg,coreg_sales,TRIGGER
anon,coreg,coreg_sales,TRUNCATE
anon,coreg,coreg_sales,UPDATE
anon,public,dra+db_bogo_fb--rr,DELETE
anon,public,dra+db_bogo_fb--rr,INSERT
anon,public,dra+db_bogo_fb--rr,REFERENCES
anon,public,dra+db_bogo_fb--rr,SELECT
anon,public,dra+db_bogo_fb--rr,TRIGGER
anon,public,dra+db_bogo_fb--rr,TRUNCATE
anon,public,dra+db_bogo_fb--rr,UPDATE
anon,public,dra+db_carbonari--rr,DELETE
anon,public,dra+db_carbonari--rr,INSERT
anon,public,dra+db_carbonari--rr,REFERENCES
anon,public,dra+db_carbonari--rr,SELECT
anon,public,dra+db_carbonari--rr,TRIGGER
anon,public,dra+db_carbonari--rr,TRUNCATE
anon,public,dra+db_carbonari--rr,UPDATE
anon,public,dra_5-0,DELETE
anon,public,dra_5-0,INSERT
anon,public,dra_5-0,REFERENCES
anon,public,dra_5-0,SELECT
anon,public,dra_5-0,TRIGGER
anon,public,dra_5-0,TRUNCATE
anon,public,dra_5-0,UPDATE
anon,public,dra_coreg_all,DELETE
anon,public,dra_coreg_all,INSERT
anon,public,dra_coreg_all,REFERENCES
anon,public,dra_coreg_all,SELECT
anon,public,dra_coreg_all,TRIGGER
anon,public,dra_coreg_all,TRUNCATE
anon,public,dra_coreg_all,UPDATE
anon,public,dra_direct,DELETE
anon,public,dra_direct,INSERT
anon,public,dra_direct,REFERENCES
anon,public,dra_direct,SELECT
anon,public,dra_direct,TRIGGER
anon,public,dra_direct,TRUNCATE
anon,public,dra_direct,UPDATE
anon,public,dracoreg2026,DELETE
anon,public,dracoreg2026,INSERT
anon,public,dracoreg2026,REFERENCES
anon,public,dracoreg2026,SELECT
anon,public,dracoreg2026,TRIGGER
anon,public,dracoreg2026,TRUNCATE
anon,public,dracoreg2026,UPDATE
anon,public,easyfn_5-0,DELETE
anon,public,easyfn_5-0,INSERT
anon,public,easyfn_5-0,REFERENCES
anon,public,easyfn_5-0,SELECT
anon,public,easyfn_5-0,TRIGGER
anon,public,easyfn_5-0,TRUNCATE
anon,public,easyfn_5-0,UPDATE
anon,public,gt+tra_eminem_tt--rr,DELETE
anon,public,gt+tra_eminem_tt--rr,INSERT
anon,public,gt+tra_eminem_tt--rr,REFERENCES
anon,public,gt+tra_eminem_tt--rr,SELECT
anon,public,gt+tra_eminem_tt--rr,TRIGGER
anon,public,gt+tra_eminem_tt--rr,TRUNCATE
anon,public,gt+tra_eminem_tt--rr,UPDATE
anon,public,gt_5-0,DELETE
anon,public,gt_5-0,INSERT
anon,public,gt_5-0,REFERENCES
anon,public,gt_5-0,SELECT
anon,public,gt_5-0,TRIGGER
anon,public,gt_5-0,TRUNCATE
anon,public,gt_5-0,UPDATE
anon,public,tra+gt_illuminati--rr,DELETE
anon,public,tra+gt_illuminati--rr,INSERT
anon,public,tra+gt_illuminati--rr,REFERENCES
anon,public,tra+gt_illuminati--rr,SELECT
anon,public,tra+gt_illuminati--rr,TRIGGER
anon,public,tra+gt_illuminati--rr,TRUNCATE
anon,public,tra+gt_illuminati--rr,UPDATE
anon,public,tra_5-0,DELETE
anon,public,tra_5-0,INSERT
anon,public,tra_5-0,REFERENCES
anon,public,tra_5-0,SELECT
anon,public,tra_5-0,TRIGGER
anon,public,tra_5-0,TRUNCATE
anon,public,tra_5-0,UPDATE
anon,public,tra_coreg2026,DELETE
anon,public,tra_coreg2026,INSERT
anon,public,tra_coreg2026,REFERENCES
anon,public,tra_coreg2026,SELECT
anon,public,tra_coreg2026,TRIGGER
anon,public,tra_coreg2026,TRUNCATE
