table_schema,table_name,trigger_name,action_timing,event_manipulation,action_statement,action_orientation
public,myprecious,set_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION handle_updated_at(),ROW
public,myprecious,trg_myprecious_set_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION myprecious_set_updated_at(),ROW
public,watchlist_campaigns,set_watchlist_campaigns_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION set_updated_at(),ROW
realtime,subscription,tr_check_filters,BEFORE,UPDATE,EXECUTE FUNCTION realtime.subscription_check_filters(),ROW
realtime,subscription,tr_check_filters,BEFORE,INSERT,EXECUTE FUNCTION realtime.subscription_check_filters(),ROW
storage,buckets,enforce_bucket_name_length_trigger,BEFORE,UPDATE,EXECUTE FUNCTION storage.enforce_bucket_name_length(),ROW
storage,buckets,enforce_bucket_name_length_trigger,BEFORE,INSERT,EXECUTE FUNCTION storage.enforce_bucket_name_length(),ROW
storage,buckets,protect_buckets_delete,BEFORE,DELETE,EXECUTE FUNCTION storage.protect_delete(),STATEMENT
storage,objects,protect_objects_delete,BEFORE,DELETE,EXECUTE FUNCTION storage.protect_delete(),STATEMENT
storage,objects,update_objects_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION storage.update_updated_at_column(),ROW
